"","_id","REPORT_YEAR","CATEGORY","SUBTYPE","ASSAULT_SUBTYPE","SEX","AGE_GROUP","AGE_COHORT","COUNT_"
"24",24,2015,"Crimes Against the Person","Other","N/A","F","Adult","25 to 34","858"
"25",25,2014,"Crimes Against the Person","Assault","Other","F","Unknown","Unknown","94"
"26",26,2023,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","18 to 24","17"
"27",27,2023,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","25 to 34","597"
"28",28,2016,"Crimes Against the Person","Assault","Other","U","Adult","55 to 64","1"
"29",29,2020,"Crimes Against the Person","Sexual Violation","N/A","M","Youth","12 to 17","58"
"30",30,2023,"Crimes Against the Person","Assault","Other","M","Child","<12","435"
"31",31,2014,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","65+","1"
"32",32,2019,"Crimes Against the Person","Assault","Other","M","Youth","12 to 17","713"
"33",33,2019,"Crimes Against the Person","Robbery","N/A","M","Adult","55 to 64","177"
"34",34,2018,"Crimes Against the Person","Sexual Violation","N/A","M","Youth","12 to 17","76"
"35",35,2017,"Crimes Against the Person","Other","N/A","F","Unknown","Unknown","134"
"36",36,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Unknown","Unknown","67"
"37",37,2016,"Crimes Against the Person","Sexual Violation","N/A","F","Child","<12","207"
"38",38,2017,"Crimes Against the Person","Robbery","N/A","F","Adult","18 to 24","215"
"39",39,2023,"Crimes Against the Person","Robbery","N/A","F","Adult","35 to 44","104"
"40",40,2015,"Crimes Against the Person","Robbery","N/A","F","Adult","35 to 44","108"
"41",41,2018,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","45 to 54","7"
"42",42,2022,"Crimes Against the Person","Other","N/A","F","Unknown","Unknown","39"
"43",43,2017,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","18 to 24","10"
"44",44,2023,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","65+","63"
"45",45,2016,"Crimes Against the Person","Sexual Violation","N/A","M","Child","<12","86"
"46",46,2015,"Crimes Against the Person","Robbery","N/A","F","Child","<12","8"
"47",47,2021,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","65+","31"
"48",48,2018,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","25 to 34","13"
"49",49,2021,"Crimes Against the Person","Assault","Other","U","Adult","18 to 24","2"
"50",50,2021,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","25 to 34","65"
"51",51,2018,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","35 to 44","46"
"52",52,2022,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","45 to 54","12"
"53",53,2022,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","25 to 34","24"
"54",54,2022,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","25 to 34","61"
"55",55,2017,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","25 to 34","32"
"56",56,2017,"Crimes Against the Person","Robbery","N/A","M","Child","<12","19"
"57",57,2017,"Crimes Against the Person","Assault","Assault Peace Officer","F","Unknown","Unknown","91"
"58",58,2018,"Crimes Against the Person","Sexual Violation","N/A","U","Unknown","Unknown","5"
"59",59,2023,"Crimes Against the Person","Other","N/A","U","Youth","12 to 17","1"
"60",60,2015,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","25 to 34","4"
"61",61,2022,"Crimes Against the Person","Assault","Assault Peace Officer","U","Unknown","Unknown","7"
"62",62,2020,"Crimes Against the Person","Other","N/A","U","Adult","25 to 34","1"
"63",63,2015,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","35 to 44","31"
"64",64,2018,"Crimes Against the Person","Assault","Other","U","Adult","45 to 54","1"
"65",65,2023,"Crimes Against the Person","Assault","Other","M","Adult","45 to 54","1253"
"66",66,2018,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","55 to 64","2"
"67",67,2021,"Crimes Against the Person","Robbery","N/A","M","Adult","18 to 24","299"
"68",68,2018,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","35 to 44","33"
"69",69,2023,"Crimes Against the Person","Robbery","N/A","M","Adult","65+","83"
"70",70,2018,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","45 to 54","53"
"71",71,2020,"Crimes Against the Person","Assault","Other","M","Adult","18 to 24","1060"
"72",72,2019,"Crimes Against the Person","Robbery","N/A","M","Child","<12","12"
"73",73,2022,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","55 to 64","75"
"74",74,2014,"Crimes Against the Person","Assault","Other","F","Adult","35 to 44","1276"
"75",75,2017,"Crimes Against the Person","Sexual Violation","N/A","F","Unknown","Unknown","31"
"76",76,2020,"Crimes Against the Person","Other","N/A","F","Child","<12","51"
"77",77,2018,"Crimes Against the Person","Assault","Other","M","Adult","25 to 34","1972"
"78",78,2015,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","25 to 34","363"
"79",79,2018,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Unknown","Unknown","8"
"80",80,2018,"Crimes Against the Person","Assault","Other","M","Youth","12 to 17","592"
"81",81,2019,"Crimes Against the Person","Robbery","N/A","M","Adult","65+","85"
"82",82,2023,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","45 to 54","13"
"83",83,2020,"Crimes Against the Person","Robbery","N/A","F","Youth","12 to 17","49"
"84",84,2014,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","55 to 64","1"
"85",85,2020,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","25 to 34","3"
"86",86,2016,"Crimes Against the Person","Robbery","N/A","M","Child","<12","17"
"87",87,2021,"Crimes Against the Person","Assault","Other","U","Adult","35 to 44","3"
"88",88,2016,"Crimes Against the Person","Robbery","N/A","M","Adult","35 to 44","222"
"89",89,2022,"Crimes Against the Person","Other","N/A","M","Youth","12 to 17","148"
"90",90,2014,"Crimes Against the Person","Other","N/A","M","Adult","35 to 44","378"
"91",91,2022,"Crimes Against the Person","Assault","Other","M","Youth","12 to 17","591"
"92",92,2022,"Crimes Against the Person","Other","N/A","F","Adult","18 to 24","286"
"93",93,2020,"Crimes Against the Person","Other","N/A","U","Adult","18 to 24","1"
"94",94,2021,"Crimes Against the Person","Assault","Other","M","Adult","35 to 44","1561"
"95",95,2022,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","18 to 24","2"
"96",96,2019,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","45 to 54","6"
"97",97,2018,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","55 to 64","2"
"98",98,2018,"Crimes Against the Person","Robbery","N/A","F","Adult","65+","58"
"99",99,2022,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","25 to 34","61"
"100",100,2015,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","45 to 54","14"
"101",101,2017,"Crimes Against the Person","Assault","Other","U","Adult","25 to 34","1"
"102",102,2015,"Crimes Against the Person","Other","N/A","F","Adult","55 to 64","184"
"103",103,2023,"Crimes Against the Person","Assault","Other","M","Adult","25 to 34","2482"
"104",104,2022,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","45 to 54","1"
"105",105,2022,"Crimes Against the Person","Robbery","N/A","M","Child","<12","13"
"106",106,2023,"Crimes Against the Person","Sexual Violation","N/A","F","Unknown","Unknown","18"
"107",107,2023,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","F","Adult","45 to 54","1"
"108",108,2022,"Crimes Against the Person","Robbery","N/A","F","Child","<12","6"
"109",109,2015,"Crimes Against the Person","Assault","Other","M","Adult","18 to 24","1255"
"110",110,2015,"Crimes Against the Person","Robbery","N/A","F","Youth","12 to 17","66"
"111",111,2019,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","45 to 54","17"
"112",112,2023,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","45 to 54","30"
"113",113,2019,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","25 to 34","69"
"114",114,2016,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","25 to 34","1"
"115",115,2014,"Crimes Against the Person","Other","N/A","F","Adult","45 to 54","398"
"116",116,2017,"Crimes Against the Person","Robbery","N/A","F","Youth","12 to 17","95"
"117",117,2021,"Crimes Against the Person","Robbery","N/A","F","Adult","45 to 54","66"
"118",118,2014,"Crimes Against the Person","Assault","Assault Peace Officer","F","Unknown","Unknown","55"
"119",119,2023,"Crimes Against the Person","Assault","Other","F","Adult","18 to 24","1427"
"120",120,2016,"Crimes Against the Person","Robbery","N/A","F","Adult","25 to 34","185"
"121",121,2022,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","65+","6"
"122",122,2021,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","55 to 64","3"
"123",123,2020,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","F","Unknown","Unknown","12"
"124",124,2014,"Crimes Against the Person","Robbery","N/A","M","Child","<12","29"
"125",125,2020,"Crimes Against the Person","Assault","Other","U","Unknown","Unknown","55"
"126",126,2022,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Unknown","Unknown","31"
"127",127,2016,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","45 to 54","11"
"128",128,2014,"Crimes Against the Person","Robbery","N/A","F","Adult","35 to 44","120"
"129",129,2017,"Crimes Against the Person","Assault","Other","M","Adult","18 to 24","1315"
"130",130,2016,"Crimes Against the Person","Robbery","N/A","M","Adult","65+","63"
"131",131,2020,"Crimes Against the Person","Other","N/A","F","Adult","55 to 64","127"
"132",132,2014,"Crimes Against the Person","Sexual Violation","N/A","M","Unknown","Unknown","4"
"133",133,2023,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","25 to 34","92"
"134",134,2017,"Crimes Against the Person","Robbery","N/A","F","Adult","25 to 34","199"
"135",135,2016,"Crimes Against the Person","Assault","Other","U","Adult","18 to 24","1"
"136",136,2016,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","65+","2"
"137",137,2017,"Crimes Against the Person","Other","N/A","M","Adult","45 to 54","370"
"138",138,2021,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","65+","51"
"139",139,2018,"Crimes Against the Person","Assault","Other","F","Unknown","Unknown","134"
"140",140,2016,"Crimes Against the Person","Other","N/A","M","Adult","55 to 64","214"
"141",141,2019,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","18 to 24","61"
"142",142,2018,"Crimes Against the Person","Robbery","N/A","M","Child","<12","7"
"143",143,2023,"Crimes Against the Person","Assault","Other","U","Unknown","Unknown","4"
"144",144,2014,"Crimes Against the Person","Sexual Violation","N/A","F","Youth","12 to 17","400"
"145",145,2022,"Crimes Against the Person","Other","N/A","F","Adult","55 to 64","151"
"146",146,2018,"Crimes Against the Person","Robbery","N/A","M","Adult","25 to 34","462"
"147",147,2017,"Crimes Against the Person","Robbery","N/A","M","Adult","55 to 64","180"
"148",148,2015,"Crimes Against the Person","Other","N/A","M","Adult","65+","139"
"149",149,2021,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","18 to 24","458"
"150",150,2015,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","18 to 24","10"
"151",151,2014,"Crimes Against the Person","Robbery","N/A","F","Unknown","Unknown","16"
"152",152,2018,"Crimes Against the Person","Sexual Violation","N/A","F","Unknown","Unknown","37"
"153",153,2020,"Crimes Against the Person","Robbery","N/A","M","Adult","35 to 44","204"
"154",154,2014,"Crimes Against the Person","Assault","Aggravated Peace Officer","M","Adult","55 to 64","1"
"155",155,2023,"Crimes Against the Person","Sexual Violation","N/A","M","Unknown","Unknown","3"
"156",156,2019,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","18 to 24","7"
"157",157,2014,"Crimes Against the Person","Other","N/A","F","Adult","65+","83"
"158",158,2014,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","18 to 24","2"
"159",159,2020,"Crimes Against the Person","Robbery","N/A","M","Youth","12 to 17","235"
"160",160,2022,"Crimes Against the Person","Assault","Other","F","Unknown","Unknown","77"
"161",161,2019,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","25 to 34","91"
"162",162,2020,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","55 to 64","51"
"163",163,2014,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","25 to 34","22"
"164",164,2016,"Crimes Against the Person","Robbery","N/A","U","Youth","12 to 17","2"
"165",165,2019,"Crimes Against the Person","Sexual Violation","N/A","F","Child","<12","235"
"166",166,2020,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Unknown","Unknown","40"
"167",167,2022,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Unknown","Unknown","80"
"168",168,2017,"Crimes Against the Person","Other","N/A","M","Unknown","Unknown","146"
"169",169,2019,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","25 to 34","451"
"170",170,2015,"Crimes Against the Person","Sexual Violation","N/A","M","Child","<12","100"
"171",171,2017,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","25 to 34","17"
"172",172,2020,"Crimes Against the Person","Assault","Other","F","Youth","12 to 17","346"
"173",173,2015,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","18 to 24","34"
"174",174,2018,"Crimes Against the Person","Robbery","N/A","M","Adult","65+","89"
"175",175,2022,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","25 to 34","531"
"176",176,2020,"Crimes Against the Person","Sexual Violation","N/A","F","Youth","12 to 17","390"
"177",177,2016,"Crimes Against the Person","Sexual Violation","N/A","U","Youth","12 to 17","1"
"178",178,2016,"Crimes Against the Person","Robbery","N/A","M","Youth","12 to 17","699"
"179",179,2016,"Crimes Against the Person","Assault","Other","F","Child","<12","260"
"180",180,2019,"Crimes Against the Person","Other","N/A","F","Adult","65+","79"
"181",181,2020,"Crimes Against the Person","Robbery","N/A","M","Unknown","Unknown","22"
"182",182,2022,"Crimes Against the Person","Other","N/A","M","Adult","65+","81"
"183",183,2022,"Crimes Against the Person","Assault","Other","M","Adult","18 to 24","1211"
"184",184,2021,"Crimes Against the Person","Other","N/A","U","Adult","35 to 44","2"
"185",185,2015,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","35 to 44","15"
"186",186,2021,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Unknown","Unknown","44"
"187",187,2017,"Crimes Against the Person","Robbery","N/A","M","Unknown","Unknown","38"
"188",188,2023,"Crimes Against the Person","Robbery","N/A","F","Adult","65+","46"
"189",189,2023,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","55 to 64","2"
"190",190,2016,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","18 to 24","513"
"191",191,2020,"Crimes Against the Person","Assault","Other","M","Adult","35 to 44","1362"
"192",192,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","35 to 44","42"
"193",193,2014,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","45 to 54","1"
"194",194,2016,"Crimes Against the Person","Assault","Other","M","Adult","55 to 64","759"
"195",195,2014,"Crimes Against the Person","Other","N/A","F","Adult","25 to 34","689"
"196",196,2016,"Crimes Against the Person","Other","N/A","F","Adult","45 to 54","424"
"197",197,2023,"Crimes Against the Person","Assault","Aggravated Peace Officer","M","Unknown","Unknown","1"
"198",198,2023,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","18 to 24","2"
"199",199,2018,"Crimes Against the Person","Assault","Other","M","Adult","65+","439"
"200",200,2022,"Crimes Against the Person","Other","N/A","M","Child","<12","64"
"201",201,2023,"Crimes Against the Person","Robbery","N/A","M","Child","<12","20"
"202",202,2018,"Crimes Against the Person","Assault","Other","M","Adult","45 to 54","1363"
"203",203,2019,"Crimes Against the Person","Robbery","N/A","U","Adult","35 to 44","1"
"204",204,2021,"Crimes Against the Person","Other","N/A","F","Adult","55 to 64","149"
"205",205,2016,"Crimes Against the Person","Sexual Violation","N/A","M","Unknown","Unknown","11"
"206",206,2017,"Crimes Against the Person","Assault","Other","F","Unknown","Unknown","92"
"207",207,2017,"Crimes Against the Person","Robbery","N/A","U","Unknown","Unknown","1"
"208",208,2020,"Crimes Against the Person","Assault","Other","F","Adult","18 to 24","1269"
"209",209,2019,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","25 to 34","10"
"210",210,2014,"Crimes Against the Person","Assault","Assault Peace Officer","M","Unknown","Unknown","281"
"211",211,2014,"Crimes Against the Person","Robbery","N/A","M","Adult","65+","86"
"212",212,2023,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","F","Adult","25 to 34","2"
"213",213,2016,"Crimes Against the Person","Assault","Assault Peace Officer","F","Unknown","Unknown","74"
"214",214,2016,"Crimes Against the Person","Assault","Aggravated Peace Officer","M","Unknown","Unknown","1"
"215",215,2021,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","35 to 44","4"
"216",216,2022,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","65+","1"
"217",217,2017,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","55 to 64","4"
"218",218,2021,"Crimes Against the Person","Assault","Other","U","Adult","45 to 54","6"
"219",219,2021,"Crimes Against the Person","Robbery","N/A","F","Adult","25 to 34","136"
"220",220,2022,"Crimes Against the Person","Robbery","N/A","M","Adult","65+","92"
"221",221,2020,"Crimes Against the Person","Robbery","N/A","M","Adult","65+","84"
"222",222,2014,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","35 to 44","19"
"223",223,2015,"Crimes Against the Person","Assault","Other","F","Unknown","Unknown","73"
"224",224,2023,"Crimes Against the Person","Robbery","N/A","F","Youth","12 to 17","50"
"225",225,2018,"Crimes Against the Person","Robbery","N/A","F","Adult","55 to 64","85"
"226",226,2018,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Unknown","Unknown","69"
"227",227,2020,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","45 to 54","7"
"228",228,2020,"Crimes Against the Person","Sexual Violation","N/A","U","Adult","25 to 34","1"
"229",229,2023,"Crimes Against the Person","Robbery","N/A","M","Adult","55 to 64","135"
"230",230,2021,"Crimes Against the Person","Robbery","N/A","M","Adult","25 to 34","334"
"231",231,2016,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","F","Adult","45 to 54","1"
"232",232,2017,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","18 to 24","62"
"233",233,2021,"Crimes Against the Person","Assault","Other","F","Adult","55 to 64","590"
"234",234,2015,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","35 to 44","7"
"235",235,2022,"Crimes Against the Person","Robbery","N/A","F","Adult","65+","60"
"236",236,2014,"Crimes Against the Person","Other","N/A","M","Adult","25 to 34","412"
"237",237,2019,"Crimes Against the Person","Assault","Other","F","Adult","65+","448"
"238",238,2022,"Crimes Against the Person","Sexual Violation","N/A","M","Youth","12 to 17","93"
"239",239,2022,"Crimes Against the Person","Assault","Other","F","Adult","45 to 54","1026"
"240",240,2022,"Crimes Against the Person","Other","N/A","M","Unknown","Unknown","79"
"241",241,2018,"Crimes Against the Person","Assault","Assault Peace Officer","M","Unknown","Unknown","332"
"242",242,2019,"Crimes Against the Person","Assault","Other","M","Adult","35 to 44","1567"
"243",243,2019,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","18 to 24","1"
"244",244,2015,"Crimes Against the Person","Robbery","N/A","U","Adult","18 to 24","1"
"245",245,2019,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","35 to 44","22"
"246",246,2019,"Crimes Against the Person","Assault","Other","M","Adult","25 to 34","2111"
"247",247,2018,"Crimes Against the Person","Assault","Other","F","Adult","65+","396"
"248",248,2015,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","55 to 64","1"
"249",249,2015,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","55 to 64","2"
"250",250,2017,"Crimes Against the Person","Assault","Other","M","Child","<12","488"
"251",251,2016,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","45 to 54","13"
"252",252,2017,"Crimes Against the Person","Sexual Violation","N/A","M","Unknown","Unknown","3"
"253",253,2022,"Crimes Against the Person","Assault","Other","U","Adult","65+","1"
"254",254,2020,"Crimes Against the Person","Assault","Other","M","Adult","65+","506"
"255",255,2017,"Crimes Against the Person","Other","N/A","F","Adult","55 to 64","203"
"256",256,2020,"Crimes Against the Person","Robbery","N/A","F","Unknown","Unknown","9"
"257",257,2015,"Crimes Against the Person","Other","N/A","F","Adult","18 to 24","534"
"258",258,2014,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","45 to 54","14"
"259",259,2018,"Crimes Against the Person","Other","N/A","M","Child","<12","65"
"260",260,2017,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","45 to 54","112"
"261",261,2017,"Crimes Against the Person","Sexual Violation","N/A","F","Youth","12 to 17","467"
"262",262,2022,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","35 to 44","2"
"263",263,2017,"Crimes Against the Person","Assault","Other","U","Unknown","Unknown","23"
"264",264,2018,"Crimes Against the Person","Assault","Other","F","Adult","55 to 64","492"
"265",265,2018,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","F","Adult","65+","1"
"266",266,2017,"Crimes Against the Person","Sexual Violation","N/A","F","Child","<12","217"
"267",267,2018,"Crimes Against the Person","Other","N/A","U","Adult","35 to 44","2"
"268",268,2019,"Crimes Against the Person","Assault","Assault Peace Officer","F","Unknown","Unknown","74"
"269",269,2023,"Crimes Against the Person","Assault","Other","F","Adult","25 to 34","2602"
"270",270,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","65+","2"
"271",271,2019,"Crimes Against the Person","Robbery","N/A","F","Adult","25 to 34","154"
"272",272,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","18 to 24","11"
"273",273,2022,"Crimes Against the Person","Robbery","N/A","F","Unknown","Unknown","13"
"274",274,2015,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","18 to 24","41"
"275",275,2020,"Crimes Against the Person","Assault","Assault Peace Officer","M","Unknown","Unknown","291"
"276",276,2018,"Crimes Against the Person","Other","N/A","M","Adult","65+","96"
"277",277,2019,"Crimes Against the Person","Other","N/A","F","Adult","55 to 64","164"
"278",278,2023,"Crimes Against the Person","Assault","Other","U","Adult","65+","1"
"279",279,2021,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","25 to 34","42"
"280",280,2023,"Crimes Against the Person","Robbery","N/A","F","Adult","55 to 64","59"
"281",281,2022,"Crimes Against the Person","Assault","Other","F","Adult","55 to 64","631"
"282",282,2020,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","18 to 24","2"
"283",283,2020,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","25 to 34","57"
"284",284,2022,"Crimes Against the Person","Assault","Other","U","Youth","12 to 17","2"
"285",285,2016,"Crimes Against the Person","Robbery","N/A","F","Adult","55 to 64","97"
"286",286,2020,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","35 to 44","19"
"287",287,2014,"Crimes Against the Person","Assault","Other","M","Adult","65+","285"
"288",288,2023,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","25 to 34","10"
"289",289,2015,"Crimes Against the Person","Other","N/A","M","Adult","45 to 54","440"
"290",290,2014,"Crimes Against the Person","Robbery","N/A","U","Unknown","Unknown","1"
"291",291,2023,"Crimes Against the Person","Robbery","N/A","F","Adult","18 to 24","126"
"292",292,2021,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","35 to 44","49"
"293",293,2018,"Crimes Against the Person","Robbery","N/A","F","Unknown","Unknown","10"
"294",294,2014,"Crimes Against the Person","Sexual Violation","N/A","M","Youth","12 to 17","70"
"295",295,2019,"Crimes Against the Person","Other","N/A","M","Adult","55 to 64","199"
"296",296,2023,"Crimes Against the Person","Other","N/A","U","Unknown","Unknown","6"
"297",297,2021,"Crimes Against the Person","Other","N/A","F","Adult","18 to 24","280"
"298",298,2016,"Crimes Against the Person","Assault","Other","M","Unknown","Unknown","180"
"299",299,2021,"Crimes Against the Person","Assault","Other","M","Adult","65+","516"
"300",300,2014,"Crimes Against the Person","Other","N/A","F","Adult","18 to 24","474"
"301",301,2017,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","18 to 24","513"
"302",302,2021,"Crimes Against the Person","Other","N/A","M","Youth","12 to 17","97"
"303",303,2023,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","35 to 44","52"
"304",304,2021,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","U","Unknown","Unknown","3"
"305",305,2016,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","25 to 34","25"
"306",306,2018,"Crimes Against the Person","Other","N/A","F","Adult","55 to 64","168"
"307",307,2020,"Crimes Against the Person","Sexual Violation","N/A","F","Adult","18 to 24","446"
"308",308,2015,"Crimes Against the Person","Assault","Other","U","Adult","18 to 24","1"
"309",309,2015,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","45 to 54","2"
"310",310,2016,"Crimes Against the Person","Robbery","N/A","M","Adult","55 to 64","162"
